# Egyptian Arabic curated lexicon — category: particles
# columns: text<TAB>freq(200-255)
مش	255
ده	254
كده	254
اوي	254
انا	254
دي	253
يلا	253
بس	253
بقى	252
خالص	252
لسه	252
عشان	252
يعني	252
طب	252
خلاص	252
اه	252
حاجة	252
انت	251
علشان	250
احنا	250
اللي	250
طيب	250
ايوه	250
في	250
من	250
على	250
زي	250
فيه	250
مفيش	250
لأ	249
هو	248
برضه	248
كمان	248
شوية	248
انتي	248
لا	248
يا	247
هي	246
لو	246
معايا	246
بجد	246
كل	246
عندك	245
حد	245
بلاش	244
دول	244
هما	244
ولا	244
طبعا	244
ممكن	244
لما	244
بعد	244
دا	244
ما	243
عندي	243
اكيد	242
قبل	242
كله	242
ايوا	242
انتو	242
مافيش	241
معاك	241
حتى	240
كدة	240
مش كده	240
عن	240
اهو	240
اي	240
الي	240
زى	240
اها	240
كتير	240
ياريت	240
عليك	239
قوي	238
عنده	238
اصلا	238
فعلا	238
يبقى	238
المهم	238
عليه	238
علطول	238
كل حاجة	238
عشان كده	238
عليا	238
يمكن	238
لكن	238
اي حاجة	237
نفسي	237
برضو	236
كفاية	236
غير	236
محدش	236
على فكرة	236
جدا	236
فيها	236
انتوا	235
ليك	235
معاه	234
عندنا	234
ابدا	234
بالظبط	234
اذا	234
لحد	234
كلها	234
بصراحة	234
عندها	233
مش اوي	233
برده	233
منه	232
مني	232
منك	232
اصل	232
بقا	232
اهي	232
معاكي	232
فيك	232
علشان كده	232
هى	231
على طول	231
عليها	230
علينا	230
خلاص بقى	230
تقريبا	230
لغاية	230
كلنا	229
معاها	228
عندهم	228
شوية شوية	228
زي ما	228
عشان خاطر	228
انتى	228
ليا	228
فينا	228
منها	228
عليكي	227
ولا حاجة	227
عمال	226
حوالي	226
معانا	226
عندكو	226
بالمرة	226
عشان خاطري	226
كده كده	226
عليكو	226
عليهم	226
كلهم	225
معاكو	225
لينا	224
شويتين	224
بالنسبة	224
ولا حد	224
مالوش	224
لوحدي	224
منهم	224
فيهم	224
عيب	224
لوحدك	223
مش قوي	222
كده يعني	222
علشان خاطرك	222
زي بعضه	222
معاهم	222
فيكي	222
واحدة واحدة	221
فيكو	221
ليكي	220
ليهم	220
مالهاش	219
اي حد	219
ملوش	218
بالنسبالي	218
بالنسبالك	217
منكو	217
ياما	217
يادوب	216
عمالين	216
مهما	215
اهم	215
عالعموم	214
يا ريت	214
عموما	213
مش ولا بد	212
بين	212
مش لازم	226
لازم	248
اكتر	238
اقل	218
احسن	240
اهو كده	210
خصوصا	216
بالذات	220
حبة	218
حبتين	208
معقول	232
مش معقول	228
يا سلام	228
بس كده	228
يا ترى	226
اوعى	224
يا عيني	224
على راسي	224
ومال	214
من غير	222
يا خبر	222
يا خسارة	220
ياترى	216
يا نهار ابيض	216
اوعي	216
غصب عني	212
خلاص كده	214
هم	216
دى	238
