# Iraqi Arabic curated lexicon — category: chat
# columns: text<TAB>freq(200-255)
ههههه	252
هههه	248
هههههه	240
لول	232
هع	228
اوك	244
اوكي	240
تمام	250
تمام حبيبي	232
كله تمام	234
تم	242
عادي	242
سهالات	236
شكو	246
شكو ماكو	248
ماكو شي	240
ماكو جديد	230
كلشي تمام	228
اي والله	242
هيه والله	226
لا والله	238
اموت عليك	234
اموت من الضحك	230
ولا يهمك	238
ماكو مشكلة	236
النت	240
ماكو نت	242
النت ضعيف	232
النت زفت	226
واي فاي	230
راوتر	224
رصيد	232
ماكو رصيد	226
كارت	228
موبايل	240
موبايلي	230
تلفون	234
رنلي	230
مسج	238
مسجات	226
دزلي مسج	234
فويس	232
دزلي فويس	228
لوكيشن	230
دزلي لوكيشن	232
دزلي صورة	228
صور	228
فيديو	230
مكالمة	226
فيس	232
الفيس	228
فيسبوك	234
انستا	234
انستغرام	226
تليغرام	230
واتساب	238
الواتس	232
بالواتس	228
يوتيوب	228
سناب	224
تيك توك	230
كروب	238
الكروب	230
بالكروب	226
بالخاص	234
دزلي بالخاص	226
ستوري	228
بوست	228
لايك	228
كومنت	224
منشن	222
فولو	220
شير	222
بلوك	224
سكرين	226
اونلاين	228
اوفلاين	220
اكونت	222
بروفايل	224
شدعوة	238
ولك شدعوة	226
خوش فكرة	232
خوش كلام	228
خوش خبر	226
يصير خير	234
اني بالطريق	236
هسه اجي	238
هسه وصلت	228
دا اجي	232
بس دقيقة	230
سوري	230
بليز	226
ثواني	232
كفو	240
كفو عليك	230
عاش	232
تصدق	230
شوف شلون	226
يلا عاد	228
بس عاد	232
دير بالك	236
دير بالك على نفسك	226
دزيلي	224
هلا بيك حبيبي	222
بلوكني	214
طرش	218
طرشلي	224
انطرش	216
غيرت رقمي	216
محادثة	216
اتصال	226
اتصال فائت	218
جاوب	230
جاوبني	226
رد علية	222
ليش مطنش	224
طنشني	220
حظرني	218
ضافني	216
ضيفني	224
عندك حق	230
معك حق	226
والله صادق	222
هذا الحجي	220
خوش حجي	228
سولفة حلوة	216
كلامك صحيح	218
مقتنع	216
مو مقتنع	214
زين سويت	222
احسنت	220
